date,time,ms
15-6-2020,11:26:16,10.625
15-6-2020,11:26:17,9.349
15-6-2020,11:26:18,9.34
15-6-2020,11:26:19,9.971
15-6-2020,11:26:20,10.486
15-6-2020,11:26:21,9.405
15-6-2020,11:26:22,14.26
15-6-2020,11:26:23,9.428
15-6-2020,11:26:24,10.281
15-6-2020,11:26:25,9.763
15-6-2020,11:26:26,15.333
15-6-2020,11:26:27,9.836
15-6-2020,11:26:28,10.082
15-6-2020,11:26:29,11.149
15-6-2020,11:26:30,9.325
15-6-2020,11:26:31,9.498
15-6-2020,11:26:32,11.325
15-6-2020,11:26:33,9.9
15-6-2020,11:26:34,10.326
15-6-2020,11:26:35,9.595
15-6-2020,11:26:36,9.766
15-6-2020,11:26:37,13.196
15-6-2020,11:26:38,10.501
15-6-2020,11:26:39,9.938
15-6-2020,11:26:40,9.931
15-6-2020,11:26:41,10.053
15-6-2020,11:26:42,9.716
15-6-2020,11:26:43,11.325
15-6-2020,11:26:44,9.467
15-6-2020,11:26:45,9.708
15-6-2020,11:26:46,9.473
15-6-2020,11:26:47,9.596
15-6-2020,11:26:48,10.345
15-6-2020,11:26:49,12.677
15-6-2020,11:26:50,11.578
15-6-2020,11:26:51,9.56
15-6-2020,11:26:52,9.615
15-6-2020,11:26:53,9.446
15-6-2020,11:26:54,10.538
15-6-2020,11:26:55,9.749
15-6-2020,11:26:56,9.518
15-6-2020,11:26:57,11.192
15-6-2020,11:26:58,9.319
15-6-2020,11:26:59,9.25
15-6-2020,11:27:00,10.312
15-6-2020,11:27:01,10.601
15-6-2020,11:27:02,9.295
15-6-2020,11:27:03,9.845
15-6-2020,11:27:04,9.649
15-6-2020,11:27:05,11.097
15-6-2020,11:27:06,12.247
15-6-2020,11:27:07,9.879
15-6-2020,11:27:08,9.645
15-6-2020,11:27:09,9.664
15-6-2020,11:27:10,10.493
15-6-2020,11:27:11,12.138
15-6-2020,11:27:12,9.471
15-6-2020,11:27:13,9.842
15-6-2020,11:27:14,9.777
15-6-2020,11:27:15,10.191
15-6-2020,11:27:16,11.5
15-6-2020,11:27:17,10.568
15-6-2020,11:27:18,10.184
15-6-2020,11:27:19,11.753
15-6-2020,11:27:20,10.418
15-6-2020,11:27:21,10.063
15-6-2020,11:27:22,11.639
15-6-2020,11:27:23,9.385
15-6-2020,11:27:24,9.866
15-6-2020,11:27:25,13.248
15-6-2020,11:27:26,9.783
15-6-2020,11:27:27,10.228
15-6-2020,11:27:28,9.78
15-6-2020,11:27:29,9.369
15-6-2020,11:27:30,9.515
15-6-2020,11:27:31,9.999
15-6-2020,11:27:32,9.807
15-6-2020,11:27:33,9.491
15-6-2020,11:27:34,10.025
15-6-2020,11:27:35,9.582
15-6-2020,11:27:36,9.743
15-6-2020,11:27:37,9.872
15-6-2020,11:27:38,10.508
15-6-2020,11:27:39,10.5
15-6-2020,11:27:40,10.038
15-6-2020,11:27:41,11.032
15-6-2020,11:27:42,9.29
15-6-2020,11:27:43,10.566
15-6-2020,11:27:44,10.564
15-6-2020,11:27:45,9.391
15-6-2020,11:27:46,10.27
15-6-2020,11:27:47,9.448
15-6-2020,11:27:48,9.61
15-6-2020,11:27:49,9.198
15-6-2020,11:27:50,9.705
15-6-2020,11:27:51,10.442
15-6-2020,11:27:52,9.396
15-6-2020,11:27:53,9.635
15-6-2020,11:27:54,9.874
15-6-2020,11:27:55,9.11
15-6-2020,11:27:56,9.748
15-6-2020,11:27:57,10.096
15-6-2020,11:27:58,11.336
15-6-2020,11:27:59,10.075
15-6-2020,11:28:00,9.542
15-6-2020,11:28:01,9.83
15-6-2020,11:28:02,9.985
15-6-2020,11:28:03,9.628
15-6-2020,11:28:04,10.602
15-6-2020,11:28:05,9.437
15-6-2020,11:28:06,9.295
15-6-2020,11:28:07,10.867
15-6-2020,11:28:08,9.589
15-6-2020,11:28:09,9.841
15-6-2020,11:28:10,9.545
15-6-2020,11:28:11,9.969
15-6-2020,11:28:12,9.503
15-6-2020,11:28:13,12.106
15-6-2020,11:28:14,9.85
15-6-2020,11:28:15,11.854
15-6-2020,11:28:16,13.591
15-6-2020,11:28:17,11.901
15-6-2020,11:28:18,10.835
15-6-2020,11:28:19,9.824
15-6-2020,11:28:20,9.47
15-6-2020,11:28:21,9.971
15-6-2020,11:28:22,10.875
15-6-2020,11:28:23,9.777
15-6-2020,11:28:24,10.092
15-6-2020,11:28:25,9.875
15-6-2020,11:28:26,9.899
15-6-2020,11:28:27,11.383
15-6-2020,11:28:28,10.067
15-6-2020,11:28:29,12.607
15-6-2020,11:28:30,9.958
15-6-2020,11:28:31,10.662
15-6-2020,11:28:32,10.56
15-6-2020,11:28:33,9.555
15-6-2020,11:28:34,9.635
15-6-2020,11:28:35,10.191
15-6-2020,11:28:36,10.426
15-6-2020,11:28:37,9.879
15-6-2020,11:28:38,11.121
15-6-2020,11:28:39,16.098
15-6-2020,11:28:40,10.078
15-6-2020,11:28:41,9.531
15-6-2020,11:28:42,9.712
15-6-2020,11:28:43,9.784
15-6-2020,11:28:44,9.754
15-6-2020,11:28:45,9.674
15-6-2020,11:28:46,10.912
15-6-2020,11:28:47,10.413
15-6-2020,11:28:48,10.016
15-6-2020,11:28:49,9.507
15-6-2020,11:28:50,10.201
15-6-2020,11:28:51,9.828
15-6-2020,11:28:52,9.706
15-6-2020,11:28:53,14.218
15-6-2020,11:28:54,9.936
15-6-2020,11:28:55,11.514
15-6-2020,11:28:56,10.834
15-6-2020,11:28:57,9.789
15-6-2020,11:28:58,9.943
15-6-2020,11:28:59,9.497
15-6-2020,11:29:00,9.687
15-6-2020,11:29:01,10.319
15-6-2020,11:29:02,9.787
15-6-2020,11:29:03,10.051
15-6-2020,11:29:04,10.034
15-6-2020,11:29:05,9.771
15-6-2020,11:29:06,9.572
15-6-2020,11:29:07,9.617
15-6-2020,11:29:08,9.987
15-6-2020,11:29:09,9.957
15-6-2020,11:29:10,9.226
15-6-2020,11:29:11,9.312
15-6-2020,11:29:12,10.862
15-6-2020,11:29:13,9.628
15-6-2020,11:29:14,9.726
15-6-2020,11:29:15,9.952
15-6-2020,11:29:16,9.78
15-6-2020,11:29:17,11.191
15-6-2020,11:29:18,9.329
15-6-2020,11:29:19,10.724
15-6-2020,11:29:20,10.303
15-6-2020,11:29:21,9.967
15-6-2020,11:29:22,10.481
15-6-2020,11:29:23,10.511
15-6-2020,11:29:24,9.792
15-6-2020,11:29:25,9.757
15-6-2020,11:29:26,10.235
15-6-2020,11:29:27,14.725
15-6-2020,11:29:28,10.984
15-6-2020,11:29:29,10.613
15-6-2020,11:29:30,9.769
15-6-2020,11:29:31,10.153
15-6-2020,11:29:32,10.468
15-6-2020,11:29:33,9.498
15-6-2020,11:29:34,10.72
15-6-2020,11:29:35,10.535
15-6-2020,11:29:36,9.89
15-6-2020,11:29:37,9.521
15-6-2020,11:29:38,9.726
15-6-2020,11:29:39,9.651
15-6-2020,11:29:40,10.054
15-6-2020,11:29:41,9.727
15-6-2020,11:29:42,11.768
15-6-2020,11:29:43,10.288
15-6-2020,11:29:44,9.784
15-6-2020,11:29:45,17.297
15-6-2020,11:29:46,10.159
15-6-2020,11:29:47,10.529
15-6-2020,11:29:48,9.842
15-6-2020,11:29:49,10.09
15-6-2020,11:29:50,10.112
15-6-2020,11:29:51,9.521
15-6-2020,11:29:52,13.082
15-6-2020,11:29:53,11.682
15-6-2020,11:29:54,9.532
15-6-2020,11:29:55,9.646
15-6-2020,11:29:56,9.518
15-6-2020,11:29:57,9.585
15-6-2020,11:29:58,10.079
15-6-2020,11:29:59,9.497
15-6-2020,11:30:00,9.75
15-6-2020,11:30:01,10.193
15-6-2020,11:30:02,9.774
15-6-2020,11:30:03,9.909
15-6-2020,11:30:04,11.195
15-6-2020,11:30:05,10.213
15-6-2020,11:30:06,9.478
15-6-2020,11:30:07,11.027
15-6-2020,11:30:08,10.669
15-6-2020,11:30:09,10.403
15-6-2020,11:30:10,10.075
15-6-2020,11:30:11,12.008
15-6-2020,11:30:12,9.637
15-6-2020,11:30:13,10.23
15-6-2020,11:30:14,9.287
15-6-2020,11:30:15,11.305
15-6-2020,11:30:16,9.505
15-6-2020,11:30:17,9.645
15-6-2020,11:30:18,9.518
15-6-2020,11:30:19,9.86
15-6-2020,11:30:20,9.712
15-6-2020,11:30:21,9.547
15-6-2020,11:30:23,9.863
15-6-2020,11:30:24,10.135
15-6-2020,11:30:25,9.359
15-6-2020,11:30:26,9.641
15-6-2020,11:30:27,11.049
15-6-2020,11:30:28,10.801
15-6-2020,11:30:29,9.744
15-6-2020,11:30:30,9.628
15-6-2020,11:30:31,10.182
15-6-2020,11:30:32,9.992
15-6-2020,11:30:33,9.516
15-6-2020,11:30:34,9.666
15-6-2020,11:30:35,9.962
15-6-2020,11:30:36,9.519
15-6-2020,11:30:37,9.761
15-6-2020,11:30:38,9.597
15-6-2020,11:30:39,10.182
15-6-2020,11:30:40,10.092
15-6-2020,11:30:41,9.404
15-6-2020,11:30:42,11.969
15-6-2020,11:30:43,10.978
15-6-2020,11:30:44,10.71
15-6-2020,11:30:45,9.2
15-6-2020,11:30:46,9.549
15-6-2020,11:30:47,9.515
15-6-2020,11:30:48,9.174
15-6-2020,11:30:49,9.929
15-6-2020,11:30:50,10.471
15-6-2020,11:30:51,9.801
15-6-2020,11:30:52,10.743
15-6-2020,11:30:53,9.526
15-6-2020,11:30:54,9.438
15-6-2020,11:30:55,12.347
15-6-2020,11:30:56,10.205
15-6-2020,11:30:57,9.708
15-6-2020,11:30:58,9.501
15-6-2020,11:30:59,9.295
15-6-2020,11:31:00,9.569
15-6-2020,11:31:01,9.208
15-6-2020,11:31:02,9.977
15-6-2020,11:31:03,9.18
15-6-2020,11:31:04,9.886
15-6-2020,11:31:05,9.721
15-6-2020,11:31:06,9.311
15-6-2020,11:31:07,9.224
15-6-2020,11:31:08,10.404
15-6-2020,11:31:09,9.087
15-6-2020,11:31:10,9.979
15-6-2020,11:31:11,9.898
15-6-2020,11:31:12,10.145
15-6-2020,11:31:13,9.017
15-6-2020,11:31:14,11.397
15-6-2020,11:31:15,10.366
15-6-2020,11:31:16,9.483
15-6-2020,11:31:17,9.083
15-6-2020,11:31:18,15.252
15-6-2020,11:31:19,10.114
15-6-2020,11:31:20,10.193
15-6-2020,11:31:21,12.53
15-6-2020,11:31:22,9.387
15-6-2020,11:31:23,9.89
15-6-2020,11:31:24,9.639
15-6-2020,11:31:25,9.693
15-6-2020,11:31:26,9.375
15-6-2020,11:31:27,10.927
15-6-2020,11:31:28,9.399
15-6-2020,11:31:29,10.217
15-6-2020,11:31:30,9.48
15-6-2020,11:31:31,9.521
15-6-2020,11:31:32,9.565
15-6-2020,11:31:33,10.887
15-6-2020,11:31:34,10.209
15-6-2020,11:31:35,9.631
15-6-2020,11:31:36,9.955
15-6-2020,11:31:37,9.675
15-6-2020,11:31:38,10.055
15-6-2020,11:31:39,9.053
15-6-2020,11:31:40,11.117
15-6-2020,11:31:41,9.777
15-6-2020,11:31:42,9.693
15-6-2020,11:31:43,9.449
15-6-2020,11:31:44,9.75
15-6-2020,11:31:45,10.483
15-6-2020,11:31:46,10.282
15-6-2020,11:31:47,10.082
15-6-2020,11:31:48,10.435
15-6-2020,11:31:49,9.845
15-6-2020,11:31:50,9.543
15-6-2020,11:31:51,9.282
15-6-2020,11:31:52,9.388
15-6-2020,11:31:53,10.029
15-6-2020,11:31:54,9.168
15-6-2020,11:31:55,11.198
15-6-2020,11:31:56,10.634
15-6-2020,11:31:57,13.495
15-6-2020,11:31:58,9.833
15-6-2020,11:31:59,9.577
15-6-2020,11:32:00,10.165
15-6-2020,11:32:01,9.997
15-6-2020,11:32:02,9.928
15-6-2020,11:32:03,10.496
15-6-2020,11:32:04,9.863
15-6-2020,11:32:05,9.419
15-6-2020,11:32:06,9.386
15-6-2020,11:32:07,10.296
15-6-2020,11:32:08,9.255
15-6-2020,11:32:09,10.473
15-6-2020,11:32:10,9.675
15-6-2020,11:32:11,9.534
15-6-2020,11:32:12,9.256
15-6-2020,11:32:13,9.552
15-6-2020,11:32:14,9.426
15-6-2020,11:32:15,10.678
15-6-2020,11:32:16,9.198
15-6-2020,11:32:17,9.259
15-6-2020,11:32:18,11.668
15-6-2020,11:32:19,9.242
15-6-2020,11:32:20,9.86
15-6-2020,11:32:21,11.597
15-6-2020,11:32:22,9.441
15-6-2020,11:32:23,9.434
15-6-2020,11:32:24,10.159
15-6-2020,11:32:25,10.186
15-6-2020,11:32:26,11.27
15-6-2020,11:32:27,9.837
15-6-2020,11:32:28,9.709
15-6-2020,11:32:29,9.838
15-6-2020,11:32:30,9.312
15-6-2020,11:32:31,10.116
15-6-2020,11:32:32,10.134
15-6-2020,11:32:33,9.293
15-6-2020,11:32:34,10.445
15-6-2020,11:32:35,9.534
15-6-2020,11:32:36,9.582
15-6-2020,11:32:37,9.3
15-6-2020,11:32:38,10.03
15-6-2020,11:32:39,10.087
15-6-2020,11:32:40,9.303
15-6-2020,11:32:41,10.781
15-6-2020,11:32:42,9.745
15-6-2020,11:32:43,9.574
15-6-2020,11:32:44,9.237
15-6-2020,11:32:45,10.086
15-6-2020,11:32:46,10.161
15-6-2020,11:32:47,9.647
15-6-2020,11:32:48,9.201
15-6-2020,11:32:49,9.621
15-6-2020,11:32:50,11.213
15-6-2020,11:32:51,10.474
15-6-2020,11:32:52,9.784
15-6-2020,11:32:53,9.622
15-6-2020,11:32:54,10.947
15-6-2020,11:32:55,10.034
15-6-2020,11:32:56,9.768
15-6-2020,11:32:57,10.697
15-6-2020,11:32:58,10.474
15-6-2020,11:32:59,10.204
15-6-2020,11:33:00,9.7
15-6-2020,11:33:01,9.706
15-6-2020,11:33:02,10.32
15-6-2020,11:33:03,10.46
15-6-2020,11:33:04,9.901
15-6-2020,11:33:05,10.378
15-6-2020,11:33:06,9.422
15-6-2020,11:33:07,10.615
15-6-2020,11:33:08,9.397
15-6-2020,11:33:09,9.174
15-6-2020,11:33:10,9.514
15-6-2020,11:33:11,10.487
15-6-2020,11:33:12,10.701
15-6-2020,11:33:13,10.306
15-6-2020,11:33:14,9.559
15-6-2020,11:33:15,9.14
15-6-2020,11:33:16,11.812
15-6-2020,11:33:17,9.447
15-6-2020,11:33:18,9.491
15-6-2020,11:33:19,9.322
15-6-2020,11:33:20,9.732
15-6-2020,11:33:21,11.419
15-6-2020,11:33:22,9.439
15-6-2020,11:33:23,9.214
15-6-2020,11:33:24,9.117
15-6-2020,11:33:25,9.313
15-6-2020,11:33:26,10.278
15-6-2020,11:33:27,10.116
15-6-2020,11:33:28,9.749
15-6-2020,11:33:29,9.96
15-6-2020,11:33:30,11.014
15-6-2020,11:33:31,10.055
15-6-2020,11:33:32,11.159
15-6-2020,11:33:33,9.184
15-6-2020,11:33:34,9.277
15-6-2020,11:33:35,9.922
15-6-2020,11:33:36,10.105
15-6-2020,11:33:37,9.363
15-6-2020,11:33:38,9.826
15-6-2020,11:33:39,9.808
15-6-2020,11:33:40,10.02
15-6-2020,11:33:41,10.48
15-6-2020,11:33:43,9.895
15-6-2020,11:33:44,9.702
15-6-2020,11:33:45,10.667
15-6-2020,11:33:46,10.551
15-6-2020,11:33:47,9.524
15-6-2020,11:33:48,9.544
15-6-2020,11:33:49,14.043
15-6-2020,11:33:50,9.638
15-6-2020,11:33:51,9.363
