date,time,ms
15-6-2020,11:26:20,2.963
15-6-2020,11:26:21,2.938
15-6-2020,11:26:22,2.412
15-6-2020,11:26:23,4.184
15-6-2020,11:26:24,2.89
15-6-2020,11:26:25,2.699
15-6-2020,11:26:26,2.249
15-6-2020,11:26:27,5.756
15-6-2020,11:26:28,2.897
15-6-2020,11:26:29,3.335
15-6-2020,11:26:30,2.314
15-6-2020,11:26:31,2.585
15-6-2020,11:26:32,2.616
15-6-2020,11:26:33,2.877
15-6-2020,11:26:34,3.595
15-6-2020,11:26:35,2.683
15-6-2020,11:26:36,3.052
15-6-2020,11:26:37,2.94
15-6-2020,11:26:38,3.149
15-6-2020,11:26:39,2.421
15-6-2020,11:26:40,3.178
15-6-2020,11:26:41,2.579
15-6-2020,11:26:42,3.112
15-6-2020,11:26:43,5.539
15-6-2020,11:26:44,2.936
15-6-2020,11:26:45,2.919
15-6-2020,11:26:46,2.796
15-6-2020,11:26:47,2.636
15-6-2020,11:26:48,2.56
15-6-2020,11:26:49,3.153
15-6-2020,11:26:50,3.456
15-6-2020,11:26:51,5.418
15-6-2020,11:26:52,3.371
15-6-2020,11:26:53,2.169
15-6-2020,11:26:54,3.158
15-6-2020,11:26:55,3.086
15-6-2020,11:26:56,2.162
15-6-2020,11:26:57,2.3
15-6-2020,11:26:58,2.626
15-6-2020,11:26:59,3.289
15-6-2020,11:27:00,4.427
15-6-2020,11:27:01,3.119
15-6-2020,11:27:02,2.595
15-6-2020,11:27:03,5.053
15-6-2020,11:27:04,3.27
15-6-2020,11:27:05,3.393
15-6-2020,11:27:06,2.745
15-6-2020,11:27:07,2.493
15-6-2020,11:27:08,2.685
15-6-2020,11:27:09,2.382
15-6-2020,11:27:10,3.063
15-6-2020,11:27:11,2.295
15-6-2020,11:27:12,2.822
15-6-2020,11:27:13,2.334
15-6-2020,11:27:14,4.491
15-6-2020,11:27:15,2.661
15-6-2020,11:27:16,2.47
15-6-2020,11:27:17,3.041
15-6-2020,11:27:18,2.391
15-6-2020,11:27:19,2.709
15-6-2020,11:27:20,2.992
15-6-2020,11:27:21,4.102
15-6-2020,11:27:22,2.309
15-6-2020,11:27:23,2.559
15-6-2020,11:27:24,2.306
15-6-2020,11:27:25,2.663
15-6-2020,11:27:26,2.642
15-6-2020,11:27:27,2.766
15-6-2020,11:27:28,2.298
15-6-2020,11:27:29,2.897
15-6-2020,11:27:30,2.968
15-6-2020,11:27:31,2.453
15-6-2020,11:27:32,7.26
15-6-2020,11:27:33,2.461
15-6-2020,11:27:34,3.574
15-6-2020,11:27:35,2.409
15-6-2020,11:27:36,3.036
15-6-2020,11:27:37,5.571
15-6-2020,11:27:38,3.349
15-6-2020,11:27:39,2.536
15-6-2020,11:27:40,3.077
15-6-2020,11:27:41,2.559
15-6-2020,11:27:42,2.715
15-6-2020,11:27:43,2.066
15-6-2020,11:27:44,2.967
15-6-2020,11:27:45,3.339
15-6-2020,11:27:46,3.599
15-6-2020,11:27:47,2.707
15-6-2020,11:27:48,2.44
15-6-2020,11:27:49,2.624
15-6-2020,11:27:50,2.67
15-6-2020,11:27:51,2.67
15-6-2020,11:27:52,2.811
15-6-2020,11:27:53,3.175
